peak_pos,onset,diastolic_notch,asp,adp,adn,rp,d1,d2,rd,rn,T1,T2,pi2pi_pr,pi2pi_po,annotation
237,178.0,276.0,1.3008066096391218,-1.0736635410488213,0.2062509542114898,-0.8253829071076784,1.094555655427632,-1.2799144952603112,-0.8551787322363431,0.15855620096265446,0.3046875,0.765625,0,0.9000000000000001,N
462,406.0,500.0,1.3518387771318483,-1.2113022706058902,0.29068997802586183,-0.8960404828568909,1.0611487991059865,-1.501992248631752,-0.7064941913466236,0.21503302238644845,0.296875,0.734375,0.9000000000000001,0.8960000000000001,N
686,630.0,723.0,1.3589887476604505,-1.2274852260195728,0.31402060368977913,-0.9032342822063347,1.0449681439706713,-1.5415058297093518,-0.677887896257712,0.23106931844018372,0.2890625,0.7265625,0.8960000000000001,0.9119999999999999,N
914,857.0,952.0,1.350875050665089,-1.2333721243992473,0.2848879892025682,-0.9130171763791252,1.0659870614625209,-1.5182601136018155,-0.7021109570833991,0.21089144333689974,0.296875,0.7421875,0.9119999999999999,0.9439999999999995,N
1150,1091.0,1189.0,1.3155502510686978,-1.2109584227720327,0.24946178463780252,-0.9204957558924874,1.0660884664308954,-1.4604202074098351,-0.7299874796457955,0.18962543197050075,0.3046875,0.765625,0.9439999999999995,0.9560000000000004,N
1389,1330.0,1427.0,1.301621936280106,-1.1971836183554028,0.2560016904757151,-0.9197629395958272,1.045620245804391,-1.453185308831118,-0.7195367579413837,0.19667899206380932,0.296875,0.7578125,0.9560000000000004,0.9359999999999999,N
1623,1565.0,1661.0,1.322751076910602,-1.202837709231414,0.2606282762173208,-0.9093454771858845,1.062122800693281,-1.4634659854487349,-0.7257584469020699,0.1970350134403522,0.296875,0.75,0.9359999999999999,0.9039999999999999,N
1849,1792.0,1885.0,1.367627633723245,-1.2048419602068323,0.3061934778988844,-0.8809722255514514,1.0614341558243605,-1.5110354381057167,-0.7024548392822666,0.22388658312299511,0.28125,0.7265625,0.9039999999999999,0.8120000000000003,N
2052,2001.0,2086.0,1.3793107195985919,-1.1932291969879885,0.38009383882556846,-0.8650909327633175,0.9992168807730234,-1.5733230358135568,-0.6350996318161285,0.2755679582742485,0.265625,0.6640625,0.8120000000000003,0.8040000000000003,N
2253,2202.0,2287.0,1.3525392152908269,-1.2419871927834747,0.3712272421275298,-0.9182633514374066,0.9813119731632971,-1.6132144349110045,-0.608296052853899,0.27446689747010955,0.265625,0.6640625,0.8040000000000003,0.9919999999999991,N
2501,2439.0,2577.0,1.2609848140708806,-1.1534777587049596,-0.0671964694925722,-0.9147435764758719,1.3281812835634528,-1.0862812892123874,-1.2226863306524003,-0.053288880835637924,0.59375,1.078125,0.9919999999999991,1.0440000000000005,N
2762,2785.0,2840.0,-1.3016733764302524,-3.179907936887317,1.9912991289676485,2.4429384471302553,-3.292972505397901,-5.171207065854966,0.6367899145135987,-1.5297993836431119,0.609375,0.4296875,1.0440000000000005,1.0600000000000005,N
3027,3077.0,3136.0,0.5495318832806774,0.5637857017253162,-3.994082042586419,1.0259381100138252,4.5436139258670964,4.557867744311735,0.9968727002966623,-7.268153430410539,0.8515625,0.4609375,1.0600000000000005,1.0279999999999987,N
3284,3469.0,3569.0,1.2337271663286993,-1.1621364066388455,0.19946560510058756,-0.9419719678355692,1.0342615612281116,-1.3616020117394332,-0.7595916812041521,0.16167724156885782,2.2265625,0.78125,1.0279999999999987,0.9800000000000004,N
3529,3469.0,3569.0,1.2526107398300976,-1.1621364066388455,0.19946560510058756,-0.9277713895351688,1.05314513472951,-1.3616020117394332,-0.7734603251534032,0.15923989692731103,0.3125,0.78125,0.9800000000000004,0.9640000000000004,N
3770,3711.0,3810.0,1.256114095851799,-1.1852271304102378,0.20229187462134676,-0.94356645970644,1.0538222212304522,-1.3875190050315844,-0.759501107666964,0.16104578022760596,0.3125,0.7734375,0.9640000000000004,1.0319999999999983,N
4028,3965.0,4062.0,1.1821327921142044,-1.1407031459127444,0.30915406232736187,-0.964953475212066,0.8729787297868425,-1.4498572082401062,-0.6021135907904327,0.2615222793832242,0.265625,0.7578125,1.0319999999999983,1.0920000000000023,N
4301,4372.0,4492.0,1.1194068786244258,-0.07991073984106911,-1.0668205780798612,-0.07138667929150729,2.186227456704287,0.9869098382387921,2.2152251117546453,-0.9530230682437963,1.4921875,0.9375,1.0920000000000023,1.0399999999999991,N
4561,4497.0,4602.0,1.166033678598937,-1.1150100608835736,0.15049690804261817,-0.9562417289896193,1.0155367705563187,-1.2655069689261917,-0.8024742616929421,0.1290673767017173,0.3203125,0.8203125,1.0399999999999991,0.9959999999999987,N
4810,4749.0,4851.0,1.2359902576682076,-1.1429047161626658,0.1863962893983391,-0.92468747959134,1.0495939682698685,-1.3293010055610048,-0.7895833704172279,0.15080724806843568,0.3203125,0.796875,0.9959999999999987,0.9359999999999999,N
5044,4987.0,5082.0,1.3243826228730593,-1.1832954754712175,0.2737099035735033,-0.8934694966808208,1.050672719299556,-1.4570053790447208,-0.7211179412312293,0.20666980889535433,0.296875,0.7421875,0.9359999999999999,0.8800000000000026,N
5264,5209.0,5301.0,1.3613489514623245,-1.2101079069564988,0.3097020650947521,-0.8889035435452706,1.0516468863675723,-1.519809972051251,-0.6919594592133053,0.22749645839303617,0.2890625,0.71875,0.8800000000000026,0.8759999999999977,N
5483,5428.0,5519.0,1.3423803921415278,-1.2393050957711331,0.3160534905626958,-0.9232145396537292,1.026326901578832,-1.555358586333829,-0.6598651337361441,0.2354425708338074,0.28125,0.7109375,0.8759999999999977,1.0,N
5733,5671.0,5803.0,1.2279132932839893,-1.1673453833606535,-0.05564334373257844,-0.9506741149765142,1.2835566370165679,-1.111702039628075,-1.1545869228107088,-0.045315368794292675,0.546875,1.03125,1.0,1.1040000000000028,N
6009,6077.0,6227.0,1.0832978484434037,-0.11791249937382302,-0.9773007341022691,-0.10884587239165304,2.0605985825456727,0.8593882347284462,2.397750515163605,-0.902153304842761,1.703125,1.171875,1.1040000000000028,1.1799999999999997,N
6304,6373.0,6517.0,0.9975440810034845,-0.13197449046254747,-0.9876454889335009,-0.1322994070896467,1.9851895699369853,0.8556709984709534,2.3200383949957777,-0.9900770379389892,1.6640625,1.125,1.1799999999999997,1.1519999999999975,N
6592,6784.0,6887.0,1.0430409099034241,-1.1095726015579574,0.15744414967323034,-1.0637862724489815,0.8855967602301937,-1.2670167512311878,-0.6989621560801308,0.15094724298762952,2.3046875,0.8046875,1.1519999999999975,1.0120000000000005,N
6845,6784.0,6887.0,1.1951160061911945,-1.1095726015579574,0.15744414967323034,-0.9284225094550764,1.0376718565179641,-1.2670167512311878,-0.8189882694997014,0.13173963770680386,0.328125,0.8046875,1.0120000000000005,0.9840000000000018,N
7091,7031.0,7130.0,1.2720853973165112,-1.1562484609290051,0.2296563947000303,-0.9089393395821803,1.0424290026164809,-1.3859048556290354,-0.7521649111643689,0.1805353596421238,0.3046875,0.7734375,0.9840000000000018,0.9079999999999977,N
7318,7262.0,7356.0,1.3511195464587,-1.198769576962234,0.2664281810592275,-0.8872416805043069,1.0846913653994725,-1.4651977580214615,-0.7403037299648834,0.19719067920935557,0.296875,0.734375,0.9079999999999977,0.8480000000000025,N
