peak_pos,onset,diastolic_notch
220,1,308
921,867,974
1151,1096,1204
1377,1323,1429
1603,1549,1655
1828,1774,1879
2049,1996,2100
2274,2220,2325
2498,2444,2549
2722,2668,2773
2947,2893,2999
3167,3114,3217
3392,3337,3443
3617,3563,3669
3842,3788,3893
4061,4008,4111
4283,4230,4334
4499,4447,4549
4719,4666,4770
4937,4885,4988
5152,5100,5201
5366,5314,5415
5583,5531,5634
5798,5746,5847
6017,5963,6067
6238,6186,6295
6460,6478,6600
7761,7711,7810
7968,8210,8316
8179,8210,8316
10856,10914,11061
12317,12269,12359
12518,12466,12563
12715,12668,12762
12911,12863,12957
13105,13058,13151
13297,13250,13342
13493,13445,13539
13691,13643,13737
13885,13838,13931
14086,14037,14132
14287,14238,14334
14493,14443,14541
14695,14646,14742
14901,14851,14949
15107,15057,15155
15315,15265,15364
15525,15474,15573
15733,15683,15782
15943,15892,15991
16149,16099,16197
16355,16305,16403
16563,16513,16612
16769,16719,16817
16971,16922,17018
17173,17124,17220
17377,17328,17425
17579,17530,17627
17783,17735,17830
18230,18295,18421
21399,21587,21664
22031,21978,22142
24223,24170,24273
24441,24389,24492
24655,24604,24705
24863,24813,24911
25069,25019,25117
25269,25221,25317
25469,25612,25703
26790,26745,26831
26970,26925,27012
27147,27104,27189
27325,27281,27367
27506,27461,27548
27687,27642,27730
27868,27823,27910
28049,28004,28092
28235,28189,28279
28421,28375,28464
28607,28561,28650
28795,28749,28839
28983,28937,29027
29171,29125,29215
29359,29313,29403
29547,29501,29591
29733,29688,29776
29919,29873,29962
30105,30059,30148
30289,30244,30333
30473,30428,30517
30657,30612,30701
30841,30797,30931
31022,30977,31063
31219,31172,31255
31396,31352,31441
31581,31536,31625
31769,31723,31813
31963,31916,32009
32161,32113,32207
32355,32308,32401
32547,32500,32592
32735,32690,32780
32920,32875,32952
33091,33157,33368
33481,33521,33651
33691,33718,33843
34086,34105,34216
34261,34423,34502
34663,34693,34782
35212,35267,35389
35431,35558,35702
35626,35558,35702
35786,35829,35948
35985,36138,36230
36185,36138,36230
36386,36337,36432
36589,36540,36637
36793,36744,36841
37005,36953,37054
37223,37172,37268
37437,37484,37638
41985,42144,42243
42195,42144,42243
42405,42354,42453
42615,42564,42663
42825,42774,42873
43047,42993,43099
43272,43218,43323
43493,43440,43544
43719,43665,43771
43935,43884,43985
44147,44096,44196
44353,44303,44401
44549,44502,44594
44741,44699,44791
44932,44888,44968
45117,45062,45157
45306,45258,45340
45681,45618,45725
45876,45831,45914
46065,46022,46110
46264,46217,46311
46471,46419,46516
46670,46621,46716
46875,46825,46923
47083,47033,47132
47291,47241,47340
47495,47446,47543
47701,47651,47749
47903,47854,47950
48105,48056,48152
48306,48257,48352
48506,48457,48552
48705,48658,48755
48905,49155,49264
52861,53167,53255
53383,53349,53637
54814,55123,55208
54991,55123,55208
55167,55123,55208
55341,55299,55383
55515,55472,55658
55687,55990,56073
55859,55990,56073
56034,55990,56073
57066,57154,57369
57413,57534,57615
57920,57943,58061
58077,58214,58340
58431,58457,58573
58581,58630,58734
58775,58855,58974
58927,58855,58974
59118,59073,59149
59454,59418,59481
59955,60066,60209
60490,60435,60516
61004,61152,61226
61551,61509,61595
